DEBUG: General     , 1706458981960> LoggerManager.init                  > Initializing...
LOG  : General     , 1706458982322> cachedir set to "C:\Users\User\Zomboid"
LOG  : General     , 1706458982342> 28-01-2024 13:23:02
LOG  : General     , 1706458982342> cachedir is "C:\Users\User\Zomboid"
LOG  : General     , 1706458982343> LogFileDir is "C:\Users\User\Zomboid\Logs"
LOG  : General     , 1706458982343> ===== System specs =====
LOG  : General     , 1706458982344> OS: Windows 10, version: 10.0, arch: amd64
LOG  : General     , 1706458982345> Processor: AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD
LOG  : General     , 1706458982345> Processor cores: 12
LOG  : General     , 1706458982346> Available processors (cores): 12
LOG  : General     , 1706458982347> Memory free: 484.90155 MB
LOG  : General     , 1706458982348> Memory max: 3072.0 MB
LOG  : General     , 1706458982348> Memory  total available to JVM: 510.0 MB
LOG  : General     , 1706458982352> C:\, Total: 445.91016 GB, Free: 101.679 GB
LOG  : General     , 1706458982353> D:\, Total: 931.51074 GB, Free: 410.26328 GB
LOG  : General     , 1706458982353> E:\, Total: 931.51074 GB, Free: 172.0795 GB
LOG  : General     , 1706458982533> Mobo = [Product=PRIME A520M-A]
LOG  : General     , 1706458982700> CPU = [Manufacturer=AuthenticAMD,MaxClockSpeed=3901,Name=AMD Ryzen 5 5600G with Radeon Graphics]
LOG  : General     , 1706458982860> Graphics = [AdapterRAM=4293918720,DriverVersion=31.0.15.5123,Name=NVIDIA GeForce RTX 2060]
LOG  : General     , 1706458983013> VideoMode = [VideoModeDescription=1920 x 1080 x 4294967296 cores]
LOG  : General     , 1706458983176> Sound = { [Manufacturer=JBL,Name=JBL Quantum 400* Chat], [Manufacturer=Microsoft,Name=Dispositivo de High Definition Audio], [Manufacturer=NVIDIA,Name=NVIDIA High Definition Audio], [Manufacturer=(µudio USB gen‚rico),Name=Dispositivo de  udio USB], [Manufacturer=JBL,Name=JBL Quantum 400* Game], [Manufacturer=NVIDIA,Name=NVIDIA Virtual Audio Device (Wave Extensible) (WDM)], [Manufacturer=NVIDIA,Name=NVIDIA Broadcast], [Manufacturer=Microsoft,Name=Dispositivo de High Definition Audio] }
LOG  : General     , 1706458983325> Memory RAM = { [Capacity=17179869184,Manufacturer=A-DATA], [Capacity=17179869184,Manufacturer=A-DATA] }
LOG  : General     , 1706458983326> ========================
LOG  : General     , 1706458983326> -- listing properties --
LOG  : General     , 1706458983326> java.specification.version=17
LOG  : General     , 1706458983326> sun.cpu.isalist=amd64
LOG  : General     , 1706458983326> sun.jnu.encoding=Cp1252
LOG  : General     , 1706458983326> java.class.path=.;commons-compress-1.18.jar;istack-co...
LOG  : General     , 1706458983327> java.vm.vendor=Azul Systems, Inc.
